Dự án/ khu,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Số phòng ngủ,Số toilet,dudoan_RF,Mã quận huyện,Mã xã phường,Mã đường phố,Mã dự án
N01-T8 Ngoại Giao Đoàn,Không có,Xuân Tảo,Bắc Từ Liêm,134.6,7.27,2.45452528837622,1.933083511777302,6.756999999999993,1,143,72,283
Hope Residence,Chu Huy Mân,Phúc Đồng,Long Biên,70.0,1.78,2.0,2.0,1.9183666666666672,9,83,15,178
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,78.0,2.8,2.0,1.933083511777302,2.9035666666666704,11,59,206,99
Mỹ Đình I,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,86.0,2.6,2.0,2.0,2.8676083333333326,11,58,127,273
Mỹ Đình II,Trần Hữu Dực,Mỹ Đình 2,Nam Từ Liêm,82.0,3.05,3.0,2.0,3.26856666666667,11,59,210,274
Mỹ Đình II,Trần Hữu Dực,Mỹ Đình 2,Nam Từ Liêm,120.0,3.6,3.0,2.0,4.096826969696971,11,59,210,274
137,Nguyễn Ngọc Vũ,Trung Hòa,Cầu Giấy,90.0,3.1,3.0,2.0,3.4349666666666705,2,113,138,2
Sudico Mỹ Đình,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,57.0,2.1,2.0,1.933083511777302,2.0650799999999987,11,58,173,368
Mỹ Đình I,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,60.0,2.2,2.0,2.0,2.2159399999999967,11,58,127,273
Lavender Garden,Định Công,Định Công,Hoàng Mai,80.0,3.2,2.0,2.0,3.0951999999999966,7,162,287,244
Mỹ Đình I,Nguyễn Cơ Thạch,Mỹ Đình 1,Nam Từ Liêm,97.0,3.1,3.0,2.0,3.2132000000000005,11,58,127,273
FLC Landmark Tower,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,159.0,3.85,3.0,2.0,4.417880000000006,11,59,98,124
Golden Park Tower,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,98.0,5.2,3.0,2.0,5.153270000000001,2,145,175,141
Golden Land,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,135.0,5.0,3.0,2.0,5.147800000000002,13,102,145,138
Helios Tower 75 Tam Trinh,Tam Trinh,Mai Động,Hoàng Mai,65.0,2.6,2.0,1.933083511777302,2.558299999999997,7,54,184,171
Thăng Long Garden 250 Minh Khai,Minh Khai,Minh Khai,Hai Bà Trưng,72.5,2.6,2.0,1.933083511777302,2.7552999999999988,4,55,112,428
Mỹ Đình Plaza 2,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,70.0,2.9,2.0,1.933083511777302,2.9491999999999985,11,59,130,277
Hanhomes Blue Star,Võ Trung Thành,Trâu Quỳ,Gia Lâm,61.0,1.62,2.0,2.0,1.9047000000000014,3,120,242,164
The Garden Hills - 99 Trần Bình,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,68.0,2.6,2.0,2.0,2.7112462373737363,11,59,206,398
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,61.0,2.2,2.0,2.0,2.4077892857142857,11,56,210,206
The Sakura - Vinhomes Smart City,Không có,Tây Mỗ,Nam Từ Liêm,72.0,3.1,3.0,2.0,3.1450666666666685,11,126,72,414
Bắc Hà Fodacon,Nguyễn Trãi,Mỗ Lao,Hà Đông,100.0,2.55,3.0,2.0,3.4648250000000007,8,57,145,50
Việt Hưng,Nguyễn Cao Luyện,Đức Giang,Long Biên,85.0,2.15,2.0,2.0,1.9409999999999985,9,165,123,485
Tòa Tháp Thiên Niên Kỷ,Quang Trung,Yết Kiêu,Hà Đông,92.1,4.1,2.0,2.0,3.8422511904761927,8,148,179,450
Chung cư Đại Thanh,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,50.0,0.99,2.0,1.933083511777302,1.0415616666666654,12,128,165,87
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28.0,1.45,2.45452528837622,1.933083511777302,1.332059761904762,11,56,283,472
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,60.0,1.55,2.0,2.0,1.6443483333333335,7,159,119,222
Mandarin Garden,Hoàng Minh Giám,Trung Hòa,Cầu Giấy,168.0,10.2,3.0,2.0,9.339140000000013,2,113,46,260
Intracom Riverside,Không có,Vĩnh Ngọc,Đông Anh,68.0,1.95,2.0,2.0,2.158529999999998,18,137,72,204
Thanh Xuân Complex,Lê Văn Thiêm,Thanh Xuân Trung,Thanh Xuân,90.0,3.96,2.0,2.0,3.969407142857139,13,102,96,395
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,78.0,2.7,2.0,2.0,2.7957853182928174,1,76,64,144
The Golden Palm Lê Văn Lương,Lê Văn Lương,Nhân Chính,Thanh Xuân,66.2,3.15,2.0,1.0,3.19219,13,71,95,402
Việt Hưng,Không có,Đức Giang,Long Biên,85.0,1.8,2.0,2.0,1.9320250000000012,9,165,72,485
The Matrix One,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,114.0,7.2,3.0,2.0,6.3032535714285745,11,56,91,406
Kosmo Tây Hồ,Xuân La,Xuân Tảo,Bắc Từ Liêm,118.0,8.2,3.0,2.0,7.627225000000006,1,143,259,225
The Zenpark,Đông Dư,Dương Xá,Gia Lâm,64.0,2.748,2.0,2.0,2.596329999999997,3,17,277,423
Imperia Garden,Nguyễn Huy Tưởng,Thanh Xuân Trung,Thanh Xuân,75.0,3.4,2.0,2.0,3.319498214285713,13,102,132,198
Việt Hưng,Nguyễn Cao Luyện,Đức Giang,Long Biên,130.0,2.89,4.0,2.0,3.4404999999999935,9,165,123,485
Tòa Tháp Thiên Niên Kỷ - Hatay Millennium,Không có,Không có,Hà Đông,67.0,2.56,2.0,2.0,2.073208333333334,8,30,72,451
HPC Landmark 105,Không có,La Khê,Hà Đông,145.0,3.88,3.0,2.0,4.114176666666671,8,42,72,160
Hồ Gươm Plaza,Trần Phú,Mỗ Lao,Hà Đông,104.0,3.5,3.0,2.0,3.3800866666666662,8,57,214,192
Rose Town,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,93.0,3.44,3.0,1.933083511777302,3.327149999999999,7,26,158,347
Nam Trung Yên,Phạm Hùng,Trung Hòa,Cầu Giấy,65.0,2.5,2.0,1.0,2.3177999999999996,2,113,173,298
GoldSeason,Nguyễn Tuân,Thanh Xuân Trung,Thanh Xuân,66.0,2.7,2.0,1.933083511777302,3.0555069624819624,13,102,146,135
Samsora Premier,Chu Văn An,Yết Kiêu,Hà Đông,69.0,2.4,2.0,2.0,2.350519642857145,8,148,16,354
Masteri West Heights,Không có,Tây Mỗ,Nam Từ Liêm,60.0,3.0,2.45452528837622,1.933083511777302,3.0683999999999996,11,126,72,263
Berriver Long Biên,Nguyễn Văn Cừ,Bồ Đề,Long Biên,110.0,4.2,3.0,2.0,4.262342063492061,9,8,147,46
IA20 Ciputra,Phạm Văn Đồng,Đông Ngạc,Bắc Từ Liêm,100.0,3.0,3.0,2.0,3.647041666666667,1,155,176,195
BRG Diamond Residence,Lê Văn Lương,Nhân Chính,Thanh Xuân,103.0,6.0,3.0,1.933083511777302,6.058469999999999,13,71,95,41
Trung Hòa Nhân Chính,Hoàng Đạo Thúy,Trung Hòa,Cầu Giấy,146.0,4.96,3.0,2.0,4.940599999999995,2,113,50,437
Grand Sunlake,Trần Phú,Văn Quán,Hà Đông,95.0,3.52,3.0,2.0,3.45282857142857,8,135,214,145
The Pavilion - Vinhomes Ocean Park,Lý Thánh Tông,Không có,Gia Lâm,68.0,2.3,2.0,2.0,2.3528850000000023,3,30,101,412
Times City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,110.0,6.0,3.0,1.933083511777302,5.795725,4,131,112,432
The Garden Hills - 99 Trần Bình,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,60.0,2.5,2.0,2.0,2.5584833333333323,11,59,206,398
Geleximco Souther Star,Giải Phóng,Giáp Bát,Hoàng Mai,92.0,3.7,3.0,2.0,3.6201899999999974,7,22,39,130
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,93.0,4.7,2.0,2.0,4.667799999999994,2,19,260,202
Mailand Hanoi City,Đại lộ Thăng Long,An Khánh,Hoài Đức,150.0,4.2,3.0,2.0,4.429075,5,0,283,259
An Bình Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,84.0,3.4,3.0,2.0,3.425775,11,59,206,29
Helios Tower 75 Tam Trinh,Tam Trinh,Mai Động,Hoàng Mai,80.0,3.2,3.0,2.0,3.050739999999995,7,54,184,171
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,77.75,3.1,2.0,2.0,3.550383333333335,4,131,33,375
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,98.11,4.8,3.0,2.0,4.8810000000000064,4,131,112,199
Nhà ở cho CBCS Bộ Công an,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70.0,2.5,2.0,2.0,2.6283811111111106,1,15,176,320
KĐT Cổ Nhuế,Hoàng Quốc Việt,Cổ Nhuế 1,Bắc Từ Liêm,72.0,2.9,2.0,2.0,3.0251009523809524,1,14,47,226
Rose Town,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,79.0,2.8,2.0,2.0,2.4707800000000004,7,26,158,347
Mỹ Đình Plaza 2,Nguyễn Hoàng,Mỹ Đình 2,Nam Từ Liêm,77.4,3.0,2.0,2.0,3.0385444444444447,11,59,130,277
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,82.0,3.6,2.0,2.0,3.86963106060606,4,131,112,199
Vinhomes D'Capitale,Trần Duy Hưng,Trung Hòa,Cầu Giấy,38.0,1.6,1.0,1.0,1.5758999999999974,2,113,208,470
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,28.0,1.1,1.0,1.0,1.3287009934509932,11,56,283,472
One 18 Ngọc Lâm,Ngọc Lâm,Ngọc Lâm,Long Biên,104.0,3.8,3.0,2.0,3.8856700000000033,9,69,160,324
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,103.0,4.0,3.0,2.0,3.8983666666666683,11,56,210,206
Times City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,87.0,4.3,2.0,1.933083511777302,4.227250000000001,4,131,112,432
Nhà ở xã hội Him Lam Thượng Thanh,Không có,Thượng Thanh,Long Biên,63.0,1.1,2.0,2.0,1.4138380952380933,9,106,72,322
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,61.5,2.4,2.0,2.0,2.5153642857142833,11,56,210,206
Park View City,Vũ Phạm Hàm,Yên Hòa,Cầu Giấy,197.0,9.5,4.0,1.933083511777302,9.472899999999997,2,145,251,332
Thăng Long Number One,Không có,Trung Hòa,Cầu Giấy,117.0,3.8,3.0,1.933083511777302,4.043332641802647,2,113,72,429
New Skyline,Không có,Văn Quán,Hà Đông,98.0,3.7,3.0,2.0,3.6042833333333295,8,135,72,302
Gelexia Riverside,Tam Trinh,Yên Sở,Hoàng Mai,68.0,2.15,2.0,2.0,2.4136333333333315,7,147,184,129
Hateco Laroma,Huỳnh Thúc Kháng,Láng Thượng,Đống Đa,86.55,7.32,3.0,2.0,7.153740000000003,19,44,51,169
Không có,Nghĩa Tân,Nghĩa Tân,Cầu Giấy,80.0,1.65,2.0,2.0,2.1367357142857175,2,62,120,221
Eurowindow Multi Complex,Trần Duy Hưng,Trung Hòa,Cầu Giấy,100.0,4.8,3.0,2.0,5.018641666666662,2,113,208,118
Chung cư Viện 103,Yên Xá,Tân Triều,Thanh Trì,106.8,2.25,2.0,2.0,2.376500000000001,12,125,267,84
HUD3 Nguyễn Đức Cảnh,Nguyễn Đức Cảnh,Tương Mai,Hoàng Mai,76.4,3.1,2.0,2.0,3.091699999999999,7,127,152,161
K35 Tân Mai,Tân Mai,Tương Mai,Hoàng Mai,86.0,3.2,2.0,2.0,3.314719999999997,7,127,226,208
Vinhomes West Point,Phạm Hùng,Mễ Trì,Nam Từ Liêm,135.0,6.3,3.0,2.0,6.270124999999998,11,56,173,482
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,77.0,2.5,2.0,2.0,2.448525,9,20,72,108
Hòa Bình Green City,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,70.0,2.8,2.0,2.0,2.7500083333333345,4,131,112,188
Sunshine Garden,Dương Văn Bé,Vĩnh Tuy,Hai Bà Trưng,70.0,3.0,2.45452528837622,1.933083511777302,3.1458000000000004,4,131,33,375
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,87.0,3.7,3.0,2.0,4.100899999999999,4,131,112,199
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,76.0,3.8,2.0,2.0,3.6441833333333364,4,131,112,152
173 Xuân Thủy,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,110.0,4.4,3.0,2.0,4.0307857142857095,2,19,260,5
M3 - M4 Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,114.0,4.8,3.0,2.0,5.007495238095243,19,43,125,254
Sudico Mỹ Đình,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,132.0,3.3,3.0,2.0,3.5859816666666706,11,58,173,368
Home City - Trung Kính Complex,Trung Kính,Yên Hòa,Cầu Giấy,100.0,5.5,3.0,2.0,5.449923809523809,2,145,201,176
Rainbow Linh Đàm,Không có,Hoàng Liệt,Hoàng Mai,90.5,3.48,3.0,2.0,3.430865,7,26,72,340
Vinhomes Skylake,Phạm Hùng,Mỹ Đình 1,Nam Từ Liêm,101.0,6.4,3.0,1.933083511777302,6.1135000000000055,11,58,173,476
Eco City Việt Hưng,Không có,Giang Biên,Long Biên,63.0,2.25,2.0,2.0,2.2046570386557884,9,20,72,108
The Matrix One,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,87.0,4.7,2.0,3.0,4.681499999999998,11,56,91,406
Home City - Trung Kính Complex,Trung Kính,Yên Hòa,Cầu Giấy,58.61,3.3,2.0,2.0,2.0592000000000006,2,145,201,176
Vinhomes Green Bay Mễ Trì,Đại lộ Thăng Long,Mễ Trì,Nam Từ Liêm,126.0,7.2,3.0,2.0,6.7082000000000015,11,56,283,472
M5 Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,149.0,6.1,3.0,1.933083511777302,6.244700000000011,19,43,125,255
HC Golden City,Hồng Tiến,Bồ Đề,Long Biên,82.0,3.9,3.0,2.0,3.81633119047619,9,8,67,154
6th Element,Không có,Xuân La,Tây Hồ,87.0,4.5,2.0,2.0,4.4095,16,141,72,20
C14 - Bộ Công An,Tố Hữu,Trung Văn,Nam Từ Liêm,132.0,4.0,3.0,1.933083511777302,3.9949000000000012,11,117,235,52
Eco Green City,Nguyễn Xiển,Tân Triều,Thanh Trì,67.0,2.4,2.0,1.933083511777302,2.355421407722713,12,125,151,110
Green Pearl 378 Minh Khai,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,140.0,7.5,2.45452528837622,1.933083511777302,7.071769999999999,4,131,112,152
Rose Town,Ngọc Hồi,Hoàng Liệt,Hoàng Mai,70.0,2.6,2.0,2.0,1.8434750793650792,7,26,158,347
Trung Hòa Nhân Chính,Lê Văn Lương,Trung Hòa,Cầu Giấy,80.0,2.5,3.0,2.0,3.8108092857142846,2,113,95,437
The Zen Residence,Pháp Vân,Trần Phú,Hoàng Mai,106.0,4.75,3.0,2.0,3.9590666666666623,7,122,167,422
The Zen Residence,Pháp Vân,Trần Phú,Hoàng Mai,99.0,4.2,3.0,1.933083511777302,4.0510999999999955,7,122,167,422
The Zen Residence,Pháp Vân,Trần Phú,Hoàng Mai,55.0,2.4,2.0,1.0,2.171959999999999,7,122,167,422
Keangnam,Phạm Hùng,Mễ Trì,Nam Từ Liêm,118.0,5.31,3.0,2.0,4.941069523809527,11,56,173,209
The One Residence - Gamuda Garden,Pháp Vân,Yên Sở,Hoàng Mai,80.0,2.95,3.0,2.0,3.0480749999999968,7,147,167,409
The One Residence - Gamuda Garden,Pháp Vân,Trần Phú,Hoàng Mai,100.0,4.4,3.0,2.0,4.047649999999997,7,122,167,409
Thăng Long Number One,Không có,Trung Hòa,Cầu Giấy,117.0,4.45,3.0,2.0,4.521772177822179,2,113,72,429
Không có,Không có,Mỗ Lao,Hà Đông,51.0,1.3,2.0,1.0,1.197469999999999,8,57,72,221
KĐTM Dương Nội,Tố Hữu,Dương Nội,Hà Đông,62.0,1.748,2.0,1.933083511777302,1.7896469999999984,8,16,235,240
Nhà ở cho CBCS Bộ Công an,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70.0,2.65,2.0,1.933083511777302,2.6471039682539708,1,15,176,320
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,59.5,2.4,2.0,2.0,2.326480000000003,11,56,210,206
Thăng Long Number One,Không có,Trung Hòa,Cầu Giấy,117.0,4.45,3.0,2.0,4.521772177822179,2,113,72,429
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,110.0,4.9,2.0,2.0,5.154499999999997,11,12,54,471
Nhà ở cho CBCS Bộ Công an,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,70.0,2.85,2.0,2.0,2.6283811111111106,1,15,176,320
The Pride,Tố Hữu,La Khê,Hà Đông,146.0,3.5,3.0,3.0,3.237349999999999,8,42,235,413
PentStudio,Lạc Long Quân,Phú Thượng,Tây Hồ,76.0,4.8,1.0,1.933083511777302,4.793500000000007,16,79,107,335
ĐTM Dịch Vọng,Thành Thái,Dịch Vọng,Cầu Giấy,120.0,4.5,3.0,1.933083511777302,4.537699999999997,2,18,190,501
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,171.0,5.59,4.0,3.0,5.8571,11,59,206,99
Dolphin Plaza,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,198.0,6.99,4.0,3.0,6.860080952380953,11,59,206,99
Stellar Garden,Lê Văn Thiêm,Nhân Chính,Thanh Xuân,91.2,3.9,3.0,2.0,3.9146999999999976,13,71,96,367
M3 - M4 Nguyễn Chí Thanh,Nguyễn Chí Thanh,Láng Hạ,Đống Đa,97.0,4.15,3.0,1.933083511777302,4.1611999999999965,19,43,125,254
Chelsea Park,Trung Kính,Yên Hòa,Cầu Giấy,128.0,4.99,3.0,1.933083511777302,5.01816666666667,2,145,201,69
Hà Nội Melody Residences,Bằng A,Hoàng Liệt,Hoàng Mai,68.0,2.18,2.0,2.0,2.29616666666667,7,26,13,184
Golden Park Tower,Phạm Văn Bạch,Yên Hòa,Cầu Giấy,96.0,5.35,3.0,1.933083511777302,5.351966666666669,2,145,175,141
Hà Nội Melody Residences,Bằng A,Hoàng Liệt,Hoàng Mai,68.0,2.364,2.0,2.0,2.29616666666667,7,26,13,184
Sông Hồng Park View,Thái Hà,Láng Hạ,Đống Đa,110.0,4.7,3.0,2.0,4.897049999999998,19,43,191,379
Anland Premium,Tố Hữu,Dương Nội,Hà Đông,85.0,3.5,3.0,1.933083511777302,3.302204761904764,8,16,235,33
Golden Palace,Mễ Trì,Mễ Trì,Nam Từ Liêm,120.0,4.68,3.0,2.0,4.187940129870129,11,56,115,140
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,62.0,2.49,2.0,2.0,2.5884287301587294,11,56,210,206
ĐTM Dịch Vọng,Thành Thái,Dịch Vọng,Cầu Giấy,86.0,3.35,2.0,1.933083511777302,3.5256666666666687,2,18,190,501
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,69.1,2.7,2.0,2.0,2.774618452380949,1,76,64,144
Vinhomes Ocean Park Gia Lâm,Không có,Dương Xá,Gia Lâm,31.0,0.88,1.0,1.933083511777302,0.8847469047619048,3,17,72,475
Anland Premium,Tố Hữu,Dương Nội,Hà Đông,85.0,3.3,3.0,1.933083511777302,3.302204761904764,8,16,235,33
Vinhomes Gardenia,Hàm Nghi,Cầu Diễn,Nam Từ Liêm,97.0,4.95,3.0,2.0,5.025249999999994,11,12,54,471
Gelexia Riverside,Tam Trinh,Yên Sở,Hoàng Mai,65.0,2.2,2.0,1.933083511777302,2.21220833333333,7,147,184,129
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,94.0,3.9,3.0,2.0,3.755090476190475,1,76,64,144
Eco Lake View,Đại Từ,Đại Kim,Hoàng Mai,96.0,3.6,3.0,2.0,3.571454285714288,7,159,281,111
C14 - Bộ Công An,Tố Hữu,Trung Văn,Nam Từ Liêm,132.0,3.5,3.0,3.0,3.8004000000000002,11,117,235,52
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,75.0,3.65,2.0,2.0,3.39789,4,131,112,199
Khu Ngoại Giao Đoàn,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,95.0,5.0,2.45452528837622,1.933083511777302,4.845716666666666,1,144,261,211
Hinode City,Minh Khai,Minh Khai,Hai Bà Trưng,110.0,6.5,3.0,2.0,6.2753666666666685,4,55,112,174
Học Viện Quốc Phòng,Hoàng Quốc Việt,Xuân La,Tây Hồ,136.0,4.6,3.0,2.0,6.29697142857143,16,141,47,191
Helios Tower 75 Tam Trinh,Tam Trinh,Mai Động,Hoàng Mai,65.0,2.85,2.0,2.0,2.6494666666666644,7,54,184,171
Resco Cổ Nhuế,Phạm Văn Đồng,Cổ Nhuế 2,Bắc Từ Liêm,58.0,1.8,2.0,1.0,2.1153800000000014,1,15,176,341
Hà Nội Center Point,Lê Văn Lương,Nhân Chính,Thanh Xuân,85.0,4.25,3.0,2.0,4.0206699999999955,13,71,95,182
N01-T1 Ngoại Giao Đoàn,Không có,Xuân Đỉnh,Bắc Từ Liêm,133.0,6.0,4.0,1.933083511777302,6.047889999999998,1,144,72,279
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,75.0,2.6,2.0,2.0,2.624570833333333,9,165,291,49
KĐT Xa La,Phùng Hưng,Phúc La,Hà Đông,67.0,1.55,2.0,2.0,1.6559500000000014,8,81,169,235
Moonlight 1 - An Lạc Green Symphony,Không có,An Khánh,Hoài Đức,66.0,2.31,2.0,2.0,2.490052142857142,5,0,72,269
HC Golden City,Hồng Tiến,Bồ Đề,Long Biên,82.0,3.6,3.0,2.0,3.81633119047619,9,8,67,154
Dreamland Bonanza,Duy Tân,Mỹ Đình 2,Nam Từ Liêm,92.0,4.9,3.0,2.0,4.980613333333329,11,59,32,101
Không có,Hồng Hà,Chương Dương Độ,Hoàn Kiếm,90.0,2.6,2.45452528837622,1.933083511777302,3.151495238095237,6,10,65,221
xpHOMES,Quốc lộ 32,Tân Lập,Đan Phượng,80.0,1.6,2.0,2.0,2.0419199999999984,17,123,182,500
Summit Building,Trần Duy Hưng,Trung Hòa,Cầu Giấy,101.2,5.46,2.45452528837622,1.933083511777302,5.738566666666664,2,113,208,369
Indochina Plaza,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,116.0,5.5,3.0,2.0,5.442979999999998,2,19,260,202
Sun Square,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,112.0,3.9,3.0,1.933083511777302,3.9872357142857093,11,59,98,372
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,170.0,5.1,4.0,3.0,5.20069047619048,1,76,64,144
Trung Yên I,Trung Kính,Yên Hòa,Cầu Giấy,105.0,3.55,2.0,2.0,4.166966666666671,2,145,201,438
Epic Tower,Duy Tân,Dịch Vọng Hậu,Cầu Giấy,70.0,6.0,2.45452528837622,1.933083511777302,4.797166666666671,2,19,32,117
xpHOMES,Quốc lộ 32,Tân Lập,Đan Phượng,60.0,1.5,2.0,2.0,1.6537,17,123,182,500
Không có,Thái Hà,Trung Liệt,Đống Đa,62.0,0.85,3.0,2.0,1.7277599999999986,19,114,191,221
Bình Minh Garden,Đức Giang,Đức Giang,Long Biên,74.0,2.3,2.0,2.0,2.57157630952381,9,165,291,49
Ciputra Hà Nội,Lạc Long Quân,Phú Thượng,Tây Hồ,118.0,4.15,3.0,1.933083511777302,4.265499999999994,16,79,107,88
The Zei Mỹ Đình,Lê Đức Thọ,Mỹ Đình 2,Nam Từ Liêm,108.0,6.1,3.0,2.0,5.915900000000007,11,59,98,421
Vinhomes D'Capitale,Trần Duy Hưng,Trung Hòa,Cầu Giấy,95.0,6.1,3.0,2.0,5.864632836607837,2,113,208,470
Hà Nội Homeland,Không có,Thượng Thanh,Long Biên,69.0,2.55,2.0,2.0,1.9620438852813837,9,106,72,183
Berriver Long Biên,Nguyễn Văn Cừ,Bồ Đề,Long Biên,71.0,2.8,2.0,1.933083511777302,2.767733333333333,9,8,147,46
Hà Nội Homeland,Không có,Thượng Thanh,Long Biên,60.0,2.15,2.0,1.933083511777302,2.1372000000000018,9,106,72,183
Viễn Đông Star,Giáp Nhị,Thịnh Liệt,Hoàng Mai,85.0,2.6,2.0,2.0,2.447808333333334,7,110,38,483
FLC Complex Phạm Hùng,Phạm Hùng,Mỹ Đình 2,Nam Từ Liêm,131.0,4.6,3.0,2.0,4.466446973304475,11,59,173,121
The Garden Hills - 99 Trần Bình,Trần Bình,Mỹ Đình 2,Nam Từ Liêm,84.0,2.8,2.0,2.0,3.0570666666666706,11,59,206,398
C14 - Bộ Công An,Tố Hữu,Trung Văn,Nam Từ Liêm,134.0,3.8,3.0,1.933083511777302,3.9855000000000054,11,117,235,52
Grand Sunlake,Trần Phú,Văn Quán,Hà Đông,90.0,3.0,2.45452528837622,1.933083511777302,3.3129383333333347,8,135,214,145
Không có,Nguyên Hồng,Thành Công,Ba Đình,34.1,2.15,2.45452528837622,1.933083511777302,1.6768100000000026,0,103,121,221
Goldmark City,Hồ Tùng Mậu,Phú Diễn,Bắc Từ Liêm,110.0,4.1,3.0,2.0,3.8519823953823957,1,76,64,144
Việt Hưng,Không có,Đức Giang,Long Biên,126.0,2.9,3.0,1.933083511777302,3.140999999999999,9,165,72,485
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,53.5,1.45,2.0,1.0,1.5139666666666671,7,159,119,222
Không có,Thái Hà,Trung Liệt,Đống Đa,65.0,1.73,2.0,1.0,2.169369999999997,19,114,191,221
The Matrix One,Lê Quang Đạo,Mễ Trì,Nam Từ Liêm,114.0,6.7,3.0,1.933083511777302,6.37886666666667,11,56,91,406
Florence Mỹ Đình,Trần Hữu Dực,Cầu Diễn,Nam Từ Liêm,75.0,3.2,2.0,2.0,3.1573657142857137,11,12,210,127
Làng Quốc tế Thăng Long,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,169.9,7.0,3.0,2.0,6.990299999999995,2,18,223,251
Làng Quốc tế Thăng Long,Trần Đăng Ninh,Dịch Vọng,Cầu Giấy,100.0,4.1,3.0,2.0,4.356883333333338,2,18,223,251
Mipec Rubik 360,Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,82.0,4.25,2.0,1.933083511777302,4.154099999999999,2,19,260,266
Masteri West Heights,Không có,Không có,Nam Từ Liêm,43.0,2.3,1.0,1.0,2.108672500000003,11,30,72,263
Không có,Hoàng Quốc Việt,Nghĩa Đô,Cầu Giấy,52.0,1.2,2.0,1.0,1.2060000000000017,2,63,47,221
Tabudec Plaza,Phan Trọng Tuệ,Tả Thanh Oai,Thanh Trì,74.0,1.85,2.0,2.0,2.0076633333333307,12,128,165,389
