Dự án/ khu,Đường/Phố,Xã/ Phường/ Thị trấn,Quận/Huyện,Diện tích(m2),Giá (tỷ đồng),Số phòng ngủ,Số toilet,dudoan_RF,Mã quận huyện,Mã xã phường,Mã đường phố,Mã dự án
Masteri West Heights,Không có,Tây Mỗ,Nam Từ Liêm,28.0,1.7,1.0,1.0,1.7077200000000006,11,126,72,263
CT3 Tây Nam Linh Đàm,Linh Đường,Hoàng Liệt,Hoàng Mai,57.6,2.15,2.0,2.0,2.1038000000000032,7,26,84,62
KĐT Linh Đàm,Không có,Đại Kim,Hoàng Mai,83.0,2.48,3.0,2.0,2.7528000000000015,7,159,72,227
The Pavilion - Vinhomes Ocean Park,Lý Thánh Tông,Không có,Gia Lâm,47.0,1.65,1.0,1.933083511777302,1.5202809523809537,3,30,101,412
Golden Land,Nguyễn Trãi,Thanh Xuân Trung,Thanh Xuân,130.0,4.75,3.0,2.0,4.87666666666667,13,102,145,138
Không có,Tây Sơn,Ngã Tư Sở,Đống Đa,52.0,0.86,2.0,2.0,0.8166700000000001,19,61,230,221
HPC Landmark 105,Không có,La Khê,Hà Đông,121.0,3.7,3.0,2.0,3.565973809523806,8,42,72,160
Green Stars,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,66.8,2.6,2.0,1.933083511777302,2.5867483333333308,1,14,176,153
KĐTM Cầu Bươu,Không có,Tân Triều,Thanh Trì,87.22,1.89,2.0,2.0,2.3816899999999994,12,125,72,239
Discovery Central,Trần Phú,Điện Biên,Ba Đình,106.0,11.5,3.0,2.0,9.809766666666667,0,152,214,97
Đại Thanh,Không có,Tả Thanh Oai,Thanh Trì,60.0,1.3,2.0,1.933083511777302,1.5354000000000005,12,128,72,504
Imperia Sky Garden,Minh Khai,Vĩnh Tuy,Hai Bà Trưng,74.83,3.5,2.0,1.933083511777302,3.681306666666671,4,139,112,199
The Terra An Hưng,Không có,Dương Nội,Hà Đông,97.0,3.55,3.0,2.0,3.570235158730157,8,16,72,417
An Bình City,Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,90.0,3.6,3.0,1.933083511777302,3.757966666666672,1,14,176,28
Làng Việt Kiều Châu Âu Euroland,Không có,Không có,Hà Đông,77.0,2.65,2.0,2.0,2.6049583333333355,8,30,72,252
Không có,Kim Giang,Đại Kim,Hoàng Mai,80.0,2.55,2.0,1.933083511777302,2.57594,7,159,76,221
Sun Grand City,Thụy Khuê,Thụy Khuê,Tây Hồ,130.0,10.0,3.0,1.933083511777302,9.856824999999997,16,112,198,370
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,104.0,4.68,3.0,2.0,4.395583333333337,11,56,210,206
Iris Garden,Trần Hữu Dực,Mễ Trì,Nam Từ Liêm,185.3,7.5,4.0,4.0,7.487,11,56,210,206
Kim Văn Kim Lũ,Nghiêm Xuân Yêm,Đại Kim,Hoàng Mai,73.6,1.85,3.0,2.0,1.926299999999997,7,159,119,222
The Nine,Phạm Văn Đồng,Mai Dịch,Cầu Giấy,91.5,5.68,3.0,2.0,5.714374285714289,2,53,176,408
